epoch,accuracy,loss,val_accuracy,val_loss
0,0.2606589198112488,2.1502811908721924,0.37354084849357605,1.6837811470031738
1,0.3265503942966461,1.7706220149993896,0.443579763174057,1.42972731590271
2,0.36531007289886475,1.5763102769851685,0.5291828513145447,1.2542994022369385
3,0.4360465109348297,1.4337568283081055,0.5836575627326965,1.1296478509902954
4,0.49418604373931885,1.3186246156692505,0.5992217659950256,1.0438473224639893
5,0.5406976938247681,1.1989657878875732,0.5992217659950256,0.9770064949989319
6,0.555232584476471,1.1599323749542236,0.6108949184417725,0.9233646392822266
7,0.5910852551460266,1.0698033571243286,0.6381322741508484,0.8808915615081787
8,0.6317829489707947,1.0089257955551147,0.6381322741508484,0.8455541133880615
9,0.6288759708404541,0.9838763475418091,0.6498054265975952,0.816654622554779
10,0.6191860437393188,0.9550976753234863,0.661478579044342,0.7902018427848816
11,0.6569767594337463,0.9144945740699768,0.661478579044342,0.7686349153518677
12,0.6579457521438599,0.8731977343559265,0.6731517314910889,0.7463139891624451
13,0.682170569896698,0.8225936889648438,0.6848248839378357,0.727241575717926
14,0.6918604373931885,0.8060532212257385,0.6964980363845825,0.7093303203582764
15,0.6918604373931885,0.7660292983055115,0.7042801380157471,0.6970999836921692
16,0.7122092843055725,0.7488203048706055,0.7003890872001648,0.6862125396728516
17,0.6996123790740967,0.7403557300567627,0.7003890872001648,0.6725172996520996
18,0.6889534592628479,0.7433789372444153,0.7081711888313293,0.658775806427002
19,0.7286821603775024,0.7077862620353699,0.7081711888313293,0.6499329209327698
20,0.7335271239280701,0.6824815273284912,0.7120622396469116,0.6393269896507263
21,0.7441860437393188,0.6872274875640869,0.7081711888313293,0.628503680229187
22,0.7587209343910217,0.6469910144805908,0.7198443412780762,0.6184890866279602
23,0.7470930218696594,0.6459400653839111,0.731517493724823,0.6098754405975342
24,0.7558139562606812,0.6273309588432312,0.7354085445404053,0.6030186414718628
25,0.768410861492157,0.6185621023178101,0.7392995953559875,0.5948714017868042
26,0.7800387740135193,0.6008098125457764,0.7431906461715698,0.5865542888641357
27,0.8013566136360168,0.5808398127555847,0.7509727478027344,0.5815365314483643
28,0.7829457521438599,0.5847138166427612,0.7548637986183167,0.5744174122810364
29,0.7858527302742004,0.586284339427948,0.7431906461715698,0.5679017305374146
30,0.7877907156944275,0.5661240816116333,0.7470816969871521,0.5634076595306396
31,0.8217054009437561,0.5300424695014954,0.7509727478027344,0.5572497844696045
32,0.809108555316925,0.5402418971061707,0.7548637986183167,0.5489088892936707
33,0.7994186282157898,0.5376466512680054,0.7665369510650635,0.5448744893074036
34,0.8265503644943237,0.5090683102607727,0.7665369510650635,0.5389900207519531
35,0.8187984228134155,0.5101818442344666,0.7704280018806458,0.5330454707145691
36,0.8187984228134155,0.5238106846809387,0.7782101035118103,0.5273310542106628
37,0.8139534592628479,0.5088374018669128,0.7821011543273926,0.5246672034263611
38,0.8120155334472656,0.5078489184379578,0.7821011543273926,0.521377444267273
39,0.838178277015686,0.4719625413417816,0.7821011543273926,0.5166975855827332
40,0.8391472697257996,0.48379775881767273,0.7898832559585571,0.5117392539978027
41,0.8323643207550049,0.4864341616630554,0.7821011543273926,0.5088987946510315
42,0.8343023061752319,0.47472524642944336,0.7937743067741394,0.5016656517982483
43,0.8439922332763672,0.4597252607345581,0.7898832559585571,0.49959829449653625
44,0.8284883499145508,0.4688224494457245,0.7937743067741394,0.49665021896362305
45,0.856589138507843,0.4368218779563904,0.7859922051429749,0.49614042043685913
46,0.856589138507843,0.43880999088287354,0.7898832559585571,0.4912968575954437
47,0.8498061895370483,0.44036662578582764,0.7898832559585571,0.48774033784866333
48,0.8575581312179565,0.43946218490600586,0.7898832559585571,0.48365747928619385
49,0.836240291595459,0.4412950873374939,0.7937743067741394,0.48028630018234253
50,0.8624030947685242,0.4270035922527313,0.7976653575897217,0.47592073678970337
51,0.8624030947685242,0.4271561801433563,0.7937743067741394,0.47475361824035645
52,0.8594961166381836,0.42505592107772827,0.801556408405304,0.4717065095901489
53,0.8633720874786377,0.41688480973243713,0.801556408405304,0.4694785177707672
54,0.8614341020584106,0.4135696589946747,0.801556408405304,0.46356579661369324
55,0.8653100728988647,0.3986184597015381,0.8093385100364685,0.462947815656662
56,0.8498061895370483,0.40284812450408936,0.8093385100364685,0.45981481671333313
57,0.8643410801887512,0.4040580689907074,0.8132295608520508,0.4575102925300598
58,0.8662790656089783,0.4017467796802521,0.8093385100364685,0.4557170867919922
59,0.8672480583190918,0.39887505769729614,0.8171206116676331,0.4539519250392914
60,0.873062014579773,0.3858890235424042,0.8171206116676331,0.45197591185569763
61,0.8808139562606812,0.368211954832077,0.8210116624832153,0.4478296935558319
62,0.8846899271011353,0.3742833733558655,0.8249027132987976,0.44701698422431946
63,0.8837209343910217,0.3835342526435852,0.8210116624832153,0.44525328278541565
64,0.875,0.36343032121658325,0.8249027132987976,0.4424016773700714
65,0.8711240291595459,0.38631919026374817,0.8210116624832153,0.4397779405117035
66,0.8827519416809082,0.3764011859893799,0.8210116624832153,0.4372909665107727
67,0.8846899271011353,0.3578513562679291,0.8210116624832153,0.4345305562019348
68,0.8827519416809082,0.36738383769989014,0.8249027132987976,0.43247830867767334
69,0.8895348906517029,0.36060991883277893,0.8249027132987976,0.4319831132888794
70,0.8972868323326111,0.3471933901309967,0.8249027132987976,0.4304784834384918
71,0.876937985420227,0.3605484664440155,0.8326848149299622,0.42951589822769165
72,0.8963178396224976,0.3461771011352539,0.8326848149299622,0.4269849956035614
73,0.8885658979415894,0.34729909896850586,0.8326848149299622,0.42593249678611755
74,0.8992248177528381,0.33381375670433044,0.8365758657455444,0.4224899411201477
75,0.8914728760719299,0.3405953645706177,0.8365758657455444,0.4211733937263489
76,0.9001938104629517,0.3354102373123169,0.8365758657455444,0.41896122694015503
77,0.8982558250427246,0.3354584872722626,0.8365758657455444,0.4152944087982178
78,0.8885658979415894,0.33745789527893066,0.8326848149299622,0.41529223322868347
79,0.895348846912384,0.3381466865539551,0.8365758657455444,0.4146072268486023
80,0.9050387740135193,0.3199423849582672,0.8365758657455444,0.41224393248558044
81,0.8943798542022705,0.32607895135879517,0.8365758657455444,0.41081804037094116
82,0.9011628031730652,0.32565879821777344,0.8365758657455444,0.40921837091445923
83,0.9147287011146545,0.31385165452957153,0.8326848149299622,0.4063628017902374
84,0.911821722984314,0.3105981647968292,0.8365758657455444,0.4065955579280853
85,0.8885658979415894,0.3241913616657257,0.8365758657455444,0.404825896024704
86,0.9060077667236328,0.3076075613498688,0.8326848149299622,0.4027292728424072
87,0.9098837375640869,0.3020336925983429,0.844357967376709,0.4027613401412964
88,0.9060077667236328,0.30164211988449097,0.8404669165611267,0.4007999897003174
89,0.9069767594337463,0.3083362579345703,0.8365758657455444,0.397482693195343
90,0.9176356792449951,0.2868407666683197,0.8404669165611267,0.39873671531677246
91,0.9156976938247681,0.2975405156612396,0.844357967376709,0.39517882466316223
92,0.911821722984314,0.2954348623752594,0.844357967376709,0.39303410053253174
93,0.9089147448539734,0.3004702627658844,0.844357967376709,0.39470240473747253
